,CO_MUNICIPIO_RESIDENCIA,NO_MUNICIPIO_RESIDENCIA,CO_UF_RESIDENCIA,SG_UF_RESIDENCIA,NU_NOTA_CN,NU_NOTA_CH,NU_NOTA_LC,NU_NOTA_MT,NU_NOTA_REDACAO
4433,4207908,Irineópolis,42,SC,479.11666666666645,519.3731182795701,520.1784946236559,528.409523809524,553.763440860215
4434,4208005,Itá,42,SC,488.34252873563224,517.740206185567,524.4979381443297,546.1241379310347,572.5773195876288
4435,4208104,Itaiópolis,42,SC,482.4763005780349,516.8331491712707,520.6480662983428,533.9867052023122,542.6519337016574
4436,4208203,Itajaí,42,SC,485.89043515726047,518.9778438367025,535.0859690844231,538.3671262386899,578.8426476416964
4437,4208302,Itapema,42,SC,496.98108108108084,530.1293464858197,538.8704069050557,544.4285135135134,580.7891491985204
4438,4208401,Itapiranga,42,SC,487.6486013986015,518.6628378378383,525.2722972972972,557.6919580419577,583.9864864864865
4439,4208450,Itapoá,42,SC,478.6772222222221,517.357425742574,531.5356435643561,532.4127777777778,522.8712871287129
4440,4208500,Ituporanga,42,SC,482.5638554216868,510.1059154929572,523.2070422535211,539.2614457831326,574.4225352112676
4441,4208609,Jaborá,42,SC,477.3867647058824,514.7808219178081,524.9068493150684,536.4941176470588,590.1369863013699
4442,4208708,Jacinto Machado,42,SC,485.1992307692309,503.72733812949633,512.4287769784171,526.4215384615384,535.8273381294964
4443,4208807,Jaguaruna,42,SC,469.26761363636365,497.52841530054644,507.7469945355189,517.3471590909089,571.0382513661202
4444,4208906,Jaraguá do Sul,42,SC,494.6005257623555,527.7404244817374,539.0494076999009,562.4691377497369,603.3168805528135
4445,4208955,Jardinópolis,42,SC,475.5513513513514,520.421052631579,506.51315789473676,555.4189189189192,590.0
4446,4209003,Joaçaba,42,SC,501.6409921671016,536.793187347932,544.3944038929443,560.7676240208878,601.2165450121654
4447,4209102,Joinville,42,SC,502.78439783921175,535.449016999261,544.9896082779021,566.4845408325393,609.1175166297118
4448,4209151,José Boiteux,42,SC,459.91538461538454,491.01111111111106,495.1370370370369,525.7307692307693,477.037037037037
4449,4209177,Jupiá,42,SC,479.0619047619047,499.2380952380953,512.7904761904764,520.995238095238,558.0952380952381
4450,4209201,Lacerdópolis,42,SC,504.7499999999999,514.3725000000001,529.3425,548.7475000000002,567.0
4451,4209300,Lages,42,SC,494.9827436374917,523.5690116279072,534.5022093023257,542.714711359404,578.7441860465116
4452,4209409,Laguna,42,SC,487.63203389830505,531.6213008130078,534.6853658536585,543.6328813559325,589.1056910569106
4453,4209458,Lajeado Grande,42,SC,455.70625000000007,492.51578947368426,498.436842105263,519.9875,520.0
4454,4209508,Laurentino,42,SC,489.1319148936172,519.1457627118643,533.8101694915255,542.9191489361701,607.457627118644
4455,4209607,Lauro Müller,42,SC,493.3972027972028,523.7563758389266,528.7704697986576,540.3797202797203,603.6241610738255
4456,4209706,Lebon Régis,42,SC,460.6150943396226,482.4467741935484,494.41935483870964,496.16603773584905,502.5806451612903
4457,4209805,Leoberto Leal,42,SC,468.3277777777777,507.2482758620688,514.8431034482759,526.3333333333331,554.4827586206897
4458,4209854,Lindóia do Sul,42,SC,497.9551724137932,519.8737704918033,515.0344262295082,556.4224137931035,585.9016393442623
4459,4209904,Lontras,42,SC,467.0394495412843,512.4185840707963,529.89203539823,516.403669724771,559.8230088495575
4460,4210001,Luiz Alves,42,SC,505.2567164179103,529.2561643835616,535.9630136986302,562.3999999999999,573.972602739726
4461,4210035,Luzerna,42,SC,504.68735632183893,552.1144444444442,544.1022222222219,577.7701149425286,590.8888888888889
4462,4210050,Macieira,42,SC,448.65555555555557,467.39090909090913,476.9636363636364,534.8777777777779,523.6363636363636
4463,4210100,Mafra,42,SC,495.4378787878786,531.2427960057065,533.8885877318115,547.2315151515144,579.9429386590585
4464,4210209,Major Gercino,42,SC,458.575,519.6863636363636,533.0681818181819,507.8950000000001,567.2727272727273
4465,4210308,Major Vieira,42,SC,487.0218181818183,530.2135593220338,521.3966101694916,509.8436363636365,601.6949152542373
4466,4210407,Maracajá,42,SC,477.5571428571429,503.38625,503.71500000000026,513.6185714285714,566.0
4467,4210506,Maravilha,42,SC,489.1447661469933,519.582415254237,529.4438559322032,543.9962138084629,571.9067796610169
4468,4210555,Marema,42,SC,487.59999999999997,517.7615384615384,497.8615384615386,517.7304347826087,546.9230769230769
4469,4210605,Massaranduba,42,SC,474.0051724137933,508.5974137931035,530.9982758620691,540.6336206896553,566.3793103448276
4470,4210704,Matos Costa,42,SC,450.1904761904761,498.6636363636364,510.78636363636366,480.64285714285705,520.9090909090909
4471,4210803,Meleiro,42,SC,508.0294117647058,514.6956521739132,521.4326086956523,544.4364705882352,545.8695652173913
4472,4210852,Mirim Doce,42,SC,483.0319999999999,515.4919999999998,514.784,536.1719999999999,601.6
4473,4210902,Modelo,42,SC,487.19512195121933,519.9195121951219,524.8146341463414,542.170731707317,547.3170731707318
4474,4211009,Mondaí,42,SC,458.13295454545454,489.8462365591399,504.23440860215055,525.505681818182,556.989247311828
4475,4211058,Monte Carlo,42,SC,480.9791044776121,519.09,520.24,518.7567164179105,562.2857142857143
4476,4211108,Monte Castelo,42,SC,454.3457831325302,483.4450549450549,494.90769230769246,498.86987951807225,507.6923076923077
4477,4211207,Morro da Fumaça,42,SC,475.586013986014,508.80828025477723,526.471337579618,538.6013986013987,547.8980891719746
4478,4211256,Morro Grande,42,SC,481.8413793103448,509.2870967741935,512.2258064516128,542.2068965517241,517.4193548387096
4479,4211306,Navegantes,42,SC,474.8593505039196,499.66964102564106,519.4107692307693,511.8304591265402,534.9128205128205
4480,4211405,Nova Erechim,42,SC,468.58,499.72500000000014,506.22205882352927,543.0015384615385,549.4117647058823
4481,4211454,Nova Itaberaba,42,SC,471.56,502.01320754716977,510.5981132075473,524.3799999999999,594.7169811320755
4482,4211504,Nova Trento,42,SC,491.809649122807,524.0937007874018,531.359842519685,536.1999999999997,582.3622047244095
4483,4211603,Nova Veneza,42,SC,480.5729927007299,518.5692857142856,523.99,538.4956204379564,565.2857142857143
4484,4211652,Novo Horizonte,42,SC,465.96578947368414,523.6279069767442,525.4302325581394,528.6236842105263,592.5581395348837
4485,4211702,Orleans,42,SC,498.4377697841731,532.4062295081966,529.966557377049,545.8874100719427,579.016393442623
4486,4211751,Otacílio Costa,42,SC,462.4009345794392,504.7796460176992,519.1831858407079,516.1448598130839,538.4070796460177
4487,4211801,Ouro,42,SC,504.9191011235957,530.6125000000003,529.7895833333333,548.5078651685392,608.9583333333334
4488,4211850,Ouro Verde,42,SC,484.4454545454546,493.2839999999999,489.34799999999996,514.8181818181819,496.8
4489,4211876,Paial,42,SC,471.62222222222226,531.4,527.2363636363635,522.1666666666666,512.7272727272727
4490,4211892,Painel,42,SC,463.5045454545454,524.0681818181819,525.1681818181819,512.8454545454546,554.5454545454545
4491,4211900,Palhoça,42,SC,486.2974514563101,519.2128836680564,530.8637362637362,536.5442556634302,566.0022735884805
4492,4212007,Palma Sola,42,SC,468.54193548387093,503.8000000000001,510.9072164948455,505.310752688172,540.4123711340206
4493,4212056,Palmeira,42,SC,479.13125,532.6117647058824,526.5176470588236,517.6312499999999,568.2352941176471
4494,4212106,Palmitos,42,SC,475.2562500000004,514.7812749003984,518.8892430278886,529.7362500000002,543.1075697211155
4495,4212205,Papanduva,42,SC,462.0010256410257,499.9419191919191,515.089393939394,502.7153846153846,543.2323232323232
4496,4212239,Paraíso,42,SC,487.28524590163914,514.3285714285714,513.9126984126983,531.4967213114753,541.5873015873016
4497,4212254,Passo de Torres,42,SC,464.2326923076922,501.3909909909912,516.5117117117119,523.7038461538463,543.6036036036036
4498,4212270,Passos Maia,42,SC,448.340909090909,495.72272727272724,502.02727272727276,480.5954545454546,538.6363636363636
4499,4212304,Paulo Lopes,42,SC,479.14505494505494,518.2750000000002,524.1750000000002,520.7956043956045,547.5
4500,4212403,Pedras Grandes,42,SC,495.378846153846,532.3374999999999,530.0928571428573,518.0596153846155,627.5
4501,4212502,Penha,42,SC,476.0076923076922,509.5809338521403,525.7093385214009,517.2431623931623,546.7704280155642
